eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
197005031830,1970,5,3,18,30,59.4,-83.49,0.85,33,4.5,0
197005071012,1970,5,7,10,12,57.74,-79.53,-3.42,76.3,4.8,0
197005140700,1970,5,14,7,0,19,-78.9,-4.49,61,4.2,0
197005221408,1970,5,22,14,8,2,-82.87,3.43,35,4.7,0
197005222041,1970,5,22,20,41,57.3,-78.03,-1.66,171,4.3,0
197005270952,1970,5,27,9,52,35,-76.56,-6.16,62,4.6,0
197006051013,1970,6,5,10,13,2.46,-77.28,-5.57,19.1,5,0
197006220211,1970,6,22,2,11,54,-80.6,-1.57,54,4.6,0
197007171749,1970,7,17,17,49,0.13,-77.27,-1.76,175.1,4.9,0
197007181958,1970,7,18,19,58,51,-78.65,-0.23,71,4.7,0
197008070348,1970,8,7,3,48,4.4,-80,-0.76,83,4.4,0
197709201717,1977,9,20,17,17,50.7,-80.92,-4.33,77,4.7,0
197709280101,1977,9,28,1,1,51.96,-77.18,-5.7,74.9,4.6,0
197710031228,1977,10,3,12,28,23.23,-77.66,3.28,125,4.6,0
197711030505,1977,11,3,5,5,10.63,-77.74,-1.77,160.8,4.6,0
197711121657,1977,11,12,16,57,58,-77.77,-1.74,170,4.5,0
197801242020,1978,1,24,20,20,28.3,-77.94,-1.71,131,4.6,0
197803141720,1978,3,14,17,20,46.93,-77.88,-4.86,75.9,4.8,0
197803240031,1978,3,24,0,31,21.19,-75.6,-5.2,31.5,5.2,0
197804030306,1978,4,3,3,6,44.91,-78.95,3.35,16.8,4.7,0
197804030531,1978,4,3,5,31,33.33,-77.12,-3.57,52.9,4.8,0
197804070952,1978,4,7,9,52,6.19,-78.32,-1.69,54.3,4.3,0
197804090053,1978,4,9,0,53,12.58,-82.96,3.62,33,4.5,0
197804101340,1978,4,10,13,40,42.62,-81.21,-5.57,32.2,5,0
197804112257,1978,4,11,22,57,48.46,-75,-5.73,148,4.7,0
197804161550,1978,4,16,15,50,26.81,-83.01,-3.99,33,4.5,0
197804230158,1978,4,23,1,58,49.38,-81.1,-2.07,33.9,4.8,0
197904220735,1979,4,22,7,35,43.45,-80.63,-2.16,53,4.3,0
197904300104,1979,4,30,1,4,24.47,-77.76,-1.6,245.2,4.4,0
197905132241,1979,5,13,22,41,54.9,-79.46,-3.73,95.7,4.6,0
197905200143,1979,5,20,1,43,24.45,-77.38,-6.31,33,4.4,0
197905250431,1979,5,25,4,31,35.12,-80.24,0.44,38.6,4.3,0
197906012040,1979,6,1,20,40,58.3,-74.36,-6.71,116,4.8,0
197906020132,1979,6,2,1,32,52.36,-77.91,-1.65,167.1,4.4,0
197906122132,1979,6,12,21,32,53.62,-80.86,-3.76,49,5,0
197906161806,1979,6,16,18,6,58.94,-76.87,-2.52,144.5,4.3,0
197908241755,1979,8,24,17,55,39.52,-75.37,1.96,39.5,4.3,0
197908261218,1979,8,26,12,18,0.16,-80.61,-6.96,19.5,4.9,0
197909050713,1979,9,5,7,13,2.59,-81.02,-1.16,25,4.3,0
197909130440,1979,9,13,4,40,1.36,-77.5,-5.37,40.6,4.9,0
197909160909,1979,9,16,9,9,11.14,-79.03,-2.28,90.4,4.8,0
197910051643,1979,10,5,16,43,17.8,-76.18,-3.56,118.5,5.3,0
197910091657,1979,10,9,16,57,6.83,-76.28,-6.35,119.9,4.8,0
197910111747,1979,10,11,17,47,31.26,-77.19,-5.46,16.1,4.8,0
197910111748,1979,10,11,17,48,34.77,-77.17,-5.44,16.9,5.2,0
197911130622,1979,11,13,6,22,4.01,-76.67,-2.33,141,4.6,0
197911181350,1979,11,18,13,50,45.33,-74.33,-6.27,33,4.9,0
197911262105,1979,11,26,21,5,48.84,-80.71,-3.32,59.1,4.9,0
197912041247,1979,12,4,12,47,58.35,-78.54,-2.59,109.7,4.8,0
197912120759,1979,12,12,7,59,4.78,-79.42,1.62,37.5,8.1,0
197912120814,1979,12,12,8,14,50.2,-79.28,2.3,25.4,5.4,0
197912120832,1979,12,12,8,32,4.82,-78.88,2.06,33,5.3,0
197912120833,1979,12,12,8,33,52.92,-78.78,2.87,25,5.7,0
197912140620,1979,12,14,6,20,58.77,-78.72,3.34,33,4.7,0
197912140713,1979,12,14,7,13,34.8,-79.18,2.42,40,4.5,0
197912140842,1979,12,14,8,42,22.74,-79.51,2.73,15,4.6,0
197912140936,1979,12,14,9,36,25.34,-79.36,2.68,33,4.2,0
197912140955,1979,12,14,9,55,5.18,-79.16,2.41,33,4.5,0
197912141643,1979,12,14,16,43,12.1,-79.63,2.43,33,4.5,0
197912142027,1979,12,14,20,27,26.39,-79.15,2.43,33,4.2,0
197912150351,1979,12,15,3,51,44.12,-78.74,3.1,33,4.2,0
197912150432,1979,12,15,4,32,14.37,-78.64,3.31,33,4.3,0
197912150735,1979,12,15,7,35,21.92,-79.54,2.77,33,4.5,0
197912150745,1979,12,15,7,45,6.16,-78.89,2.75,33,4.5,0
